group,sentence,source
描写植物,小草从地下探出头来，好奇地张望着这个美丽的世界。,
描写植物,桃花笑红了脸，柳树摇着绿色的长辫子。,
描写植物,"向日葵一直朝着太阳微笑，仿佛在说""你好""。",
描写植物,秋天来了，树叶纷纷跳着舞飘落下来。,
描写植物,花儿们争先恐后地张开笑脸，迎接春天的到来。,
描写植物,竹笋从泥土里钻出来，好奇地打量着四周。,
描写植物,荷花在池塘里亭亭玉立，像一位害羞的姑娘。,
描写植物,春天是万物苏醒的季节：小草从土里面探出了小脑袋，仿佛给大地披上了一件绿衣。,
描写植物,"大树下，一片片落叶从树上""飞""下，像一只只彩蝶翩翩起舞。",
描写植物,路边的野花在微风中点头微笑，好像在向行人打招呼。,
描写植物,稻穗沉甸甸的，把稻秆都压得喘不过气来。,
描写植物,春风吹过，小草们欢快地跳起了集体舞。,
描写植物,树木也长出了绿色的叶子，近看像一条绿色的带子，远看像一把小小的伞。,
描写植物,含羞草像一个害羞的小姑娘，一碰它就合拢了叶子。,
描写植物,向日葵随着太阳转动，像个忠实的粉丝在给太阳喝彩。,
描写植物,银杏叶如同一封封小小的信，风姐姐把它们送到每一个人的手中，信中写着思念，写着感谢。,
描写植物,那朵娇艳欲滴的小玫瑰，穿着粉色的衣裙，在微风中颤颤地舞动，像一位娇柔的少女。,
描写植物,风姐姐飘过来，把银杏叶——这一封封小小的信，送到每一个人的手中。,
描写植物,春风吹醒了大地，也吹醒了满山的油菜花，它们举着金黄的小旗子，在风中欢快地摇摆。,
描写植物,蒲公英妈妈给孩子撑开一把把小伞，风一来，孩子们就出发去远方安家了。,
描写植物,雨后的荷叶上，滚着几颗亮晶晶的水珠，像极了翡翠盘里撒落的珍珠。,
描写植物,秋日的芦苇荡像个满头白发的老人，风一吹，他弯下腰，把一生的故事都抖落在水里。,
描写植物,枫叶在秋风中红得像一团火，远远望去，整座山都跟着烧了起来。,
描写植物,"牵牛花吹起了紫色的小喇叭，""滴滴答答""，仿佛在演奏清晨的交响曲。",
描写植物,院子里的石榴笑咧了嘴，露出一排排晶莹剔透的红牙齿。,
描写动物,小鸟在枝头欢快地唱歌，好像在庆祝春天的到来。,
描写动物,蜜蜂在花丛中忙碌地工作，像一个个勤劳的小工人。,
描写动物,蝴蝶在花园里翩翩起舞，像一位优雅的舞者。,
描写动物,青蛙蹲在荷叶上，鼓着腮帮子大声歌唱。,
描写动物,蚂蚁排着整齐的队伍，像一支训练有素的军队。,
描写动物,小猫眯着眼睛，懒洋洋地晒太阳，一副享受的样子。,
描写动物,"小狗见到主人回家了，摇着尾巴跑过来，好像在说""欢迎回来""。",
描写动物,小兔子竖起长长的耳朵，警惕地四处张望。,
描写动物,大白鹅走路一摇一摆的，像个骄傲的将军在巡视自己的领地。,
描写动物,小猴在树上荡来荡去，像个调皮的孩子在玩耍。,
描写动物,小鸡跟在母鸡后面叽叽喳喳地叫着，好像在说着悄悄话。,
描写动物,小松鼠在树枝间跳来跳去，长尾巴一甩一甩的，像在表演杂技。,
描写动物,小燕子飞倦了，落在电线上休息，那电线就像五线谱，小燕子就像一个个音符。,
描写动物,萤火虫提着小灯笼，在夏夜的草丛里巡逻，为迷路的小虫照亮回家的路。,
描写动物,"小刺猬缩成一团，像个长满刺的小球，仿佛在说：""别碰我！""",
描写动物,鸭妈妈带着一群小鸭摇摇摆摆地下了水，小鸭子们像一只只黄色的小船，跟在身后荡起一圈圈涟漪。,
描写动物,"知了在树上不知疲倦地喊着""热死了，热死了""，整个夏天都被它叫得汗流浃背。",
描写动物,蚕宝宝一口一口地啃着桑叶，沙沙沙，像是在跟叶子说悄悄话。,
描写动物,老牛在田里慢悠悠地走着，眼神里写满了岁月的故事。,
描写动物,孔雀骄傲地抖开五彩的尾羽，整个花园都成了它的舞台。,
描写自然现象,风儿轻轻地抚摸着我的脸，像妈妈温柔的手。,
