group,sentence,source
时间过渡,时间过得真快，转眼间就到了傍晚。,
时间过渡,不知不觉，一个小时过去了。,
时间过渡,日子一天天过去了，终于到了比赛那天。,
时间过渡,从那以后，我就养成了每天读书的好习惯。,
时间过渡,春天来了，万物复苏，小草从土里探出了脑袋。,
时间过渡,太阳缓缓升起，新的一天开始了。,
时间过渡,经过漫长的等待，终于迎来了暑假。,
时间过渡,几年后，当我再次回到这里，一切都已经变了模样。,
时间过渡,时间像流水一样，转眼间，我已经是一名六年级的学生了。,
时间过渡,放学的铃声刚响，操场上的同学们就像欢快的小鸟一样奔向各处。,
时间过渡,午后的阳光透过树叶洒下斑驳的光影，这时，我们最好的游戏开始了。,
时间过渡,随着一声哨响，激动人心的拔河比赛正式开始了。,
时间过渡,夜幕降临了，喧闹了一天的城市渐渐安静下来。,
时间过渡,第二天清晨，当第一缕阳光照进窗户时，我已经迫不及待地起床了。,
时间过渡,时光荏苒，白驹过隙，六年的小学生活即将画上句号。,
时间过渡,岁月如歌，转眼又是一个金秋十月。,
时间过渡,说时迟，那时快，就在千钧一发之际，他一把抓住了即将落下的花瓶。,
时间过渡,早晨，闹钟第N次响起，我才迷迷糊糊地从被子里爬出来。,
时间过渡,眨眼之间，我已经站在了领奖台上，台下响起了雷鸣般的掌声。,
时间过渡,从春到夏，从夏到秋，稻谷从青绿变成了金黄。,
时间过渡,那个冬天的早晨格外寒冷，我裹着厚厚的围巾走进了校门。,
时间过渡,十分钟过去了，二十分钟过去了，他依然没有出现。,
时间过渡,转眼又是一年毕业季，校园里的栀子花开得正旺。,
时间过渡,等啊等，盼啊盼，终于等来了那个激动人心的时刻。,
时间过渡,黄昏时分，天边的最后一抹晚霞也消失在了地平线以下。,
时间过渡,当指针指向十二点，我深吸一口气，走上了演讲台。,
时间过渡,那段日子虽然短暂，却是我记忆里最闪亮的时光。,
时间过渡,日复一日，年复一年，村口的老槐树又长高了许多。,
时间过渡,那个夏天，蝉声聒噪，阳光炽热，我们开始了漫长的军训生活。,
空间过渡,走过小桥，眼前出现了一片开阔的草地。,
空间过渡,穿过一条小巷，一座古老的寺庙映入眼帘。,
空间过渡,离开教室，我们来到了宽阔的操场上。,
空间过渡,进了颐和园的大门，绕过大殿，就来到有名的长廊。,
空间过渡,走完长廊，就来到了万寿山脚下。,
空间过渡,登上万寿山，站在佛香阁的前面向下望，颐和园的景色大半收在眼底。,
空间过渡,沿着弯弯曲曲的石板路一直往前走，一座古朴的亭子出现在我的眼前。,
空间过渡,拐过那个街角，一股浓浓的香味扑面而来——那是我最爱的面馆。,
空间过渡,推开门，眼前豁然开朗，一间明亮整洁的教室展现在眼前。,
空间过渡,从教室里出来，沿着走廊走到尽头，右转便是图书馆。,
空间过渡,下了车，往南走几步，就能看见一片金黄色的沙滩。,
空间过渡,翻过那座山头，一个宁静的小村庄静静地躺在大山的怀抱中。,
空间过渡,沿着小溪逆流而上，茂密的树林里不时传来鸟儿的歌唱声。,
空间过渡,从山顶往下看，整个城市尽收眼底，像一幅缩小了的地图。,
空间过渡,穿过那片竹林，眼前豁然开朗，一片碧绿的荷塘展现在眼前。,
空间过渡,顺着石阶一级一级往下走，耳边传来了隆隆的水声——瀑布快到了。,
空间过渡,离开喧嚣的城市，车子驶入了一条蜿蜒的乡间小路。,
空间过渡,沿着海岸线一直走，在礁石与浪花之间，藏着一个小小的海螺湾。,
空间过渡,登上塔顶，凭栏远眺，群山如黛，江水如练，整个小镇尽收眼底。,
空间过渡,走进博物馆的大门，一股庄严肃穆的气息扑面而来。,
空间过渡,从火车上下来，踏上故乡的土地，一切都是那么熟悉又陌生。,
空间过渡,沿着田埂往前走，两旁是金黄的稻穗和弯腰劳作的村民。,
空间过渡,拐进那条窄窄的胡同，墙上的爬山虎几乎要把整面墙都遮盖住了。,
空间过渡,来到山顶的观景台，只见云海翻腾，仿佛置身于仙境之中。,
事件过渡,正当我一筹莫展的时候，一件意想不到的事情发生了。,
事件过渡,就在这时，一个熟悉的身影出现在了我的面前。,
事件过渡,然而，事情并没有我想象的那么顺利。,
事件过渡,可是好景不长，一场突如其来的大雨打破了宁静。,
事件过渡,不仅如此，他还主动帮助其他同学。,
事件过渡,更让我感动的是，他一直默默地在背后支持着我。,
事件过渡,然而，他的一番话却让我改变了想法。,
事件过渡,我先把面粉倒进碗里，然后加入鸡蛋和白糖，接着用筷子不停地搅拌——蛋糕的制作就这样开始了。,
事件过渡,正当我们玩得高兴的时候，意外发生了——风筝线突然断了。,
事件过渡,眼看就要到终点了，他却突然摔倒了。,
事件过渡,经过一番激烈的角逐，决赛的名单终于出来了。,
事件过渡,就在大家快要放弃的时候，远处传来了救援车的声音。,
事件过渡,故事要从那一天说起……,
事件过渡,在经历了无数次失败后，奇迹终于出现了。,
事件过渡,接下来发生的事，让我至今难以忘怀。,
事件过渡,就在这危急关头，是他挺身而出。,
事件过渡,比赛进行到白热化阶段，双方比分交替上升。,
事件过渡,讲到这里，你一定很想知道后来发生了什么吧！,
事件过渡,功夫不负有心人，经过一个月的训练，我终于能够熟练地弹奏那首曲子了。,
事件过渡,当裁判宣布我们班获胜的那一刻，全班同学都沸腾了。,
事件过渡,正当我不知如何是好时，一张纸条悄悄递了过来。,
事件过渡,万事俱备，只欠东风。一切准备就绪，我们只等老师一声令下。,
事件过渡,然而，命运似乎总爱开玩笑——我满怀信心地交上了答卷，结果却遭遇了滑铁卢。,
事件过渡,一石激起千层浪，这个消息在班级里瞬间炸开了锅。,
事件过渡,经过这件事后，我仿佛一夜之间长大了许多。,
递进过渡,不仅如此，他还主动帮助其他同学。,
递进过渡,更让我感动的是，他一直默默地在背后支持着我。,
递进过渡,非但如此，她还坚持不懈地每天练习钢琴。,
递进过渡,这件事不仅让我收获了知识，更重要的是让我懂得了做人的道理。,
递进过渡,他不但自己学习好，还常常利用课余时间帮助同学补习功课。,
递进过渡,她不仅长得漂亮，而且心地善良，乐于助人。,
递进过渡,这一路上不仅有美丽的风景，更有难忘的经历和宝贵的人生感悟。,
递进过渡,他的成绩不仅没有下滑，反而有了很大的进步。,
递进过渡,这次经历不但让我开阔了眼界，更让我学会了独立思考。,
递进过渡,她不但原谅了我，还像以前一样对我微笑，甚至比以前更关心我了。,
递进过渡,春风吹绿的不只是小草，还有我心中那颗希望的种子。,
递进过渡,他带来的不只是礼物，更是远方的思念和温暖的牵挂。,
递进过渡,如果说之前我只是在模仿，那么现在，我是真的爱上了写作。,
递进过渡,起初我只觉得这声音很吵，后来我渐渐听出了其中的美妙，再后来，我彻底被它折服了。,
递进过渡,渐渐地，我从一个胆小怕事的孩子，变成了一个勇敢坚强的少年。,
递进过渡,进一步说，这不仅仅是一次比赛，更是一次心灵的洗礼。,
递进过渡,不单是我，全班同学都被他的精神深深感动了。,
递进过渡,尤其是那次运动会，让我真正体会到了什么是团结的力量。,
递进过渡,他不是在跑步，他是在用生命奔跑。,
递进过渡,她用行动告诉我们，什么是真正的坚强——不，她本身就是坚强的代名词。,
转折过渡,虽然很累，但我的心里却充满了快乐。,
转折过渡,原以为这件事就此结束了，没想到……,
转折过渡,然而，他的一番话却让我改变了想法。,
转折过渡,出乎意料的是，一向严厉的李老师竟然对我露出了赞许的微笑。,
转折过渡,原以为这次考试一定考砸了，谁知成绩出来后，竟然比上次进步了不少。,
转折过渡,可就在我刚松了一口气的时候，新的麻烦又找上门来了。,
转折过渡,原本晴朗的天空突然暗了下来，紧接着，豆大的雨点砸了下来。,
转折过渡,"我本以为他会大发雷霆，然而他却只是轻轻叹了口气，说：""下次加油。""",
转折过渡,他虽然身体残疾，却凭借着惊人的毅力，创造了常人难以想象的奇迹。,
转折过渡,这本是再平常不过的一天，却因为那个意外的遇见，变得格外特别。,
转折过渡,我们都以为这次必输无疑了，谁知奇迹真的发生了！,
转折过渡,一路上我忐忑不安，可当我真正站到她面前时，所有准备好的话都说不出口了。,
转折过渡,说实话，起初我并不喜欢这门课，但随着时间的推移，我渐渐发现了它的魅力。,
转折过渡,妈妈虽然嘴上不说，但我知道，她心里其实比谁都担心我。,
转折过渡,反过来想，如果不是那次失败，我可能永远都不会知道自己的问题出在哪里。,
转折过渡,这听起来似乎是一个不可能完成的任务，但我们做到了。,
转折过渡,他的相貌平平，甚至可以说有些土气，可他的心灵却比谁都美好。,
转折过渡,明明我已经很努力了，可结果还是不如人意。不过，我并没有放弃。,
转折过渡,昨天我们还在一起吵架，今天就重归于好了。,
转折过渡,正当我沉浸在喜悦中时，一个坏消息传来，我的心瞬间跌入谷底。,
并列过渡,有的在唱歌，有的在跳舞，还有的在说相声，教室里一片欢声笑语。,
并列过渡,下课了，同学们有的在写作业，有的在操场上打篮球，还有的在互相追着打闹。,
并列过渡,有时候阳光明媚，有时候细雨绵绵，有时候狂风大作——这就是多变的春天。,
并列过渡,春天，我们一起种花；夏天，我们一起游泳；秋天，我们一起捡落叶。,
因果过渡,正因为有了这次经历，我下定决心要学好英语。,
因果过渡,因为下雨，运动会推迟了，大家都很失望。,
因果过渡,之所以能取得这样的成绩，完全是因为他每天坚持不懈地练习。,
因果过渡,他平时最爱帮助别人，所以当同学们有困难时，第一个想到的就是他。,
因果过渡,既然选择了远方，便只顾风雨兼程。,
条件过渡,只要我有一点点进步，她就会比谁都高兴。,
条件过渡,只有经历过风雨，才能见到彩虹。,
条件过渡,无论遇到什么困难，我都不会轻言放弃。,
假设过渡,假如没有那天的那次相遇，也许我永远不会知道，这世上还有如此美好的事物。,
假设过渡,"如果时间可以倒流，我一定会对她说声""谢谢""。",
排比式过渡,忘不了，教室里我们一起奋笔疾书的日子；忘不了，操场上我们挥洒汗水的时刻；忘不了，放学路上我们谈天说地的时光。,
排比式过渡,在学习上，他是我的榜样；在生活中，他是我的朋友；在困境中，他是我的依靠。,
设问式过渡,是什么让我发生了这么大的改变？其实就是那件看似微不足道的小事。,
设问式过渡,怎样才能克服这个困难呢？我陷入了沉思。,
设问式过渡,这个秘密到底是什么呢？别急，听我慢慢道来。,
