group,sentence,source
学习励志,书山有路勤为径，学海无涯苦作舟。,韩愈
学习励志,学而不思则罔，思而不学则殆。,孔子
学习励志,读书破万卷，下笔如有神。,杜甫
学习励志,知之为知之，不知为不知，是知也。,孔子
学习励志,黑发不知勤学早，白首方悔读书迟。,颜真卿
学习励志,少壮不努力，老大徒伤悲。,汉乐府
学习励志,读书百遍，其义自见。,陈寿
学习励志,锲而不舍，金石可镂。,荀子
学习励志,骐骥一跃，不能十步；驽马十驾，功在不舍。,荀子
学习励志,勤能补拙是良训，一份辛苦一份才。,华罗庚
学习励志,学而时习之，不亦说乎？,孔子
学习励志,不积跬步，无以至千里。,荀子
学习励志,读万卷书，行万里路。,刘彝
学习励志,少而好学，如日出之阳。,刘向
学习励志,笔落惊风雨，诗成泣鬼神。,杜甫
学习励志,路漫漫其修远兮，吾将上下而求索。,屈原
学习励志,业精于勤，荒于嬉；行成于思，毁于随。,韩愈
学习励志,三人行，必有我师焉。,孔子
学习励志,温故而知新，可以为师矣。,孔子
学习励志,学而不厌，诲人不倦。,孔子
珍惜时间,一寸光阴一寸金，寸金难买寸光阴。,谚语
珍惜时间,盛年不重来，一日难再晨。,陶渊明
珍惜时间,明日复明日，明日何其多。,钱福
珍惜时间,时间就像海绵里的水，只要愿挤总还是有的。,鲁迅
珍惜时间,莫等闲，白了少年头，空悲切。,岳飞
珍惜时间,花有重开日，人无再少年。,关汉卿
珍惜时间,少年易老学难成，一寸光阴不可轻。,朱熹
珍惜时间,逝者如斯夫，不舍昼夜。,孔子
珍惜时间,天可补，海可填，南山可移。日月既往，不可复追。,曾国藩
珍惜时间,白日莫空过，青春不再来。,林宽
品德修养,己所不欲，勿施于人。,孔子
品德修养,老吾老以及人之老，幼吾幼以及人之幼。,孟子
品德修养,人不可有傲气，但不可无傲骨。,徐悲鸿
品德修养,失败乃成功之母。,谚语
品德修养,世上无难事，只怕有心人。,谚语
品德修养,虚心使人进步，骄傲使人落后。,毛泽东
品德修养,言必行，行必果。,《论语》
品德修养,精诚所至，金石为开。,王充
品德修养,谦受益，满招损。,《尚书》
品德修养,吾日三省吾身。,曾子
品德修养,良言一句三冬暖，恶语伤人六月寒。,《增广贤文》
品德修养,君子坦荡荡，小人长戚戚。,孔子
品德修养,勿以恶小而为之，勿以善小而不为。,刘备
品德修养,与朋友交，言而有信。,子夏
品德修养,仁者爱人，有礼者敬人。,孟子
品德修养,仰不愧于天，俯不怍于人。,孟子
品德修养,静以修身，俭以养德。,诸葛亮
品德修养,不傲才以骄人，不以宠而作威。,诸葛亮
自然哲理,不经历风雨，怎能见彩虹。,谚语
自然哲理,千里之行，始于足下。,老子
自然哲理,宝剑锋从磨砺出，梅花香自苦寒来。,谚语
自然哲理,春蚕到死丝方尽，蜡炬成灰泪始干。,李商隐
自然哲理,欲穷千里目，更上一层楼。,王之涣
自然哲理,天将降大任于斯人也，必先苦其心志，劳其筋骨。,孟子
自然哲理,大雪压青松，青松挺且直。,陈毅
自然哲理,艰难困苦，玉汝于成。,张载
自然哲理,合抱之木，生于毫末。,老子
自然哲理,纸上得来终觉浅，绝知此事要躬行。,陆游
自然哲理,临渊羡鱼，不如退而结网。,班固
自然哲理,山重水复疑无路，柳暗花明又一村。,陆游
自然哲理,沉舟侧畔千帆过，病树前头万木春。,刘禹锡
自然哲理,长风破浪会有时，直挂云帆济沧海。,李白
自然哲理,问渠那得清如许，为有源头活水来。,朱熹
自然哲理,野火烧不尽，春风吹又生。,白居易
自然哲理,千磨万击还坚劲，任尔东西南北风。,郑燮
自然哲理,只有流过血的手指，才能弹出世间的绝唱。,泰戈尔
友情亲情,海内存知己，天涯若比邻。,王勃
友情亲情,桃花潭水深千尺，不及汪伦送我情。,李白
友情亲情,慈母手中线，游子身上衣。,孟郊
友情亲情,谁言寸草心，报得三春晖。,孟郊
