group,idiom,explanation,example
外貌描写-面容,眉清目秀,形容人容貌清秀俊美，眉毛和眼睛长得很好看。,小表妹长得眉清目秀，谁见了都喜欢。
外貌描写-面容,相貌堂堂,形容人的仪表端庄威武，气度不凡。,他穿着一身军装，显得相貌堂堂。
外貌描写-面容,虎头虎脑,形容男孩子长得壮实憨厚，看起来很可爱。,那个小弟弟虎头虎脑的，特别招人喜欢。
外貌描写-面容,慈眉善目,形容人和蔼可亲，面容慈祥善良。,邻居奶奶慈眉善目的，总是笑眯眯地看着我们。
外貌描写-面容,面红耳赤,形容因激动、害羞或生气而脸和耳朵都红了。,他急得面红耳赤，半天说不出话来。
外貌描写-面容,唇红齿白,形容人嘴唇红润，牙齿洁白，容貌俊美。,这个小男孩唇红齿白的，像个瓷娃娃。
外貌描写-面容,面黄肌瘦,形容人脸色发黄，身体消瘦，营养不良的样子。,流浪的小猫面黄肌瘦的，看着真让人心疼。
外貌描写-面容,鹤发童颜,形容老人头发花白但脸色红润，精神很好。,爷爷鹤发童颜，每天早晨都去公园打太极。
外貌描写-面容,油头粉面,形容人打扮得过分油腻花哨，让人不太舒服。,他打扮得油头粉面的，同学们都觉得好笑。
外貌描写-面容,蓬头垢面,形容人头发散乱，脸上很脏，没有收拾。,他刚打完球回来，蓬头垢面的，赶紧去洗了把脸。
外貌描写-面容,浓眉大眼,形容人眉毛又浓又黑，眼睛又大又亮。,那个小男孩浓眉大眼的，一看就很有精神。
外貌描写-面容,尖嘴猴腮,形容人长相瘦削刻薄，不太好看。,故事里的坏蛋总是尖嘴猴腮的，让人一看就觉得讨厌。
外貌描写-面容,国色天香,形容女子容貌极其美丽动人。,牡丹花被称为国色天香，就像美丽的姑娘一样。
外貌描写-面容,如花似玉,形容女子像花和玉一样美丽。,姐姐穿上这件裙子，真是如花似玉。
外貌描写-身材,虎背熊腰,形容人身材魁梧强壮，后背像老虎、腰像熊一样。,爸爸虎背熊腰的，站在我面前像一座小山。
外貌描写-身材,弱不禁风,形容人身体虚弱，连风吹都受不了。,她生病后弱不禁风的，走几步路就喘气。
外貌描写-身材,骨瘦如柴,形容人非常消瘦，像干柴一样。,那只小狗骨瘦如柴的，一定很久没吃东西了。
外貌描写-身材,大腹便便,形容人肚子很大，胖胖的样子。,财主大腹便便的，走起路来一摇一摆。
外貌描写-身材,亭亭玉立,形容女子身材细长，姿态优美，像亭子一样挺拔。,几年不见，她已经长成亭亭玉立的大姑娘了。
外貌描写-身材,身材魁梧,形容人身材高大强壮。,警察叔叔身材魁梧，让人很有安全感。
外貌描写-身材,文质彬彬,形容人举止文雅，有礼貌，有修养。,他文质彬彬的，说话总是轻声细语。
外貌描写-身材,风度翩翩,形容人举止潇洒，有风度，很有魅力。,那位老师风度翩翩，同学们都很喜欢他。
外貌描写-身材,矮小精悍,形容人个子不高但很精明能干。,别看他矮小精悍，跑步可是全班第一名。
外貌描写-身材,婀娜多姿,形容女子姿态柔软优美，像柳条一样轻盈。,柳树在风中婀娜多姿，就像在跳舞一样。
外貌描写-衣着,衣冠楚楚,形容人穿戴整齐漂亮，很有精神。,爸爸今天衣冠楚楚地去参加毕业典礼了。
外貌描写-衣着,西装革履,形容人穿着西装和皮鞋，打扮正式。,叔叔西装革履地来参加我的生日宴会。
外貌描写-衣着,衣衫褴褛,形容人衣服破破烂烂，很穷苦的样子。,故事里的乞丐衣衫褴褛，让人同情。
外貌描写-衣着,花枝招展,形容女子打扮得非常漂亮鲜艳，像花枝一样。,春天到了，姑娘们穿得花枝招展的。
外貌描写-衣着,珠光宝气,形容人佩戴很多珠宝首饰，非常华丽。,公主浑身珠光宝气，闪闪发光。
外貌描写-衣着,朴素大方,形容穿戴简单不花哨，但很大方得体。,妈妈穿得朴素大方，看起来很舒服。
外貌描写-衣着,穿红戴绿,形容人穿得色彩鲜艳，很喜庆。,过年了，孩子们穿红戴绿的，特别热闹。
神态描写-喜悦,眉开眼笑,形容人非常高兴，眉毛舒展，眼睛都在笑。,听到这个好消息，奶奶眉开眼笑的。
神态描写-喜悦,笑逐颜开,形容人满脸笑容，非常开心快乐。,拿到奖状后，他笑逐颜开地跑回了家。
神态描写-喜悦,喜上眉梢,形容喜悦的心情从眉毛上就能看出来。,听说要去动物园，妹妹喜上眉梢。
神态描写-喜悦,眉飞色舞,形容人非常得意或高兴，眉毛都飞起来的样子。,他眉飞色舞地讲着旅行中的趣事。
神态描写-喜悦,喜笑颜开,形容人心里高兴，满脸笑容。,收到生日礼物后，她喜笑颜开的。
神态描写-喜悦,欣喜若狂,形容高兴到了极点，像发狂一样。,得知自己考了第一名，他欣喜若狂。
