group,sentence,source
朋友,朋友是快乐日子里的一把吉他，尽情地为你弹奏生活的愉悦；朋友是忧伤日子里的一股春风，轻轻地为你拂去心中的愁云。,
朋友,朋友是成功道路上的一位良师，热情地将你引向阳光的地带；朋友是失败苦闷中的一盏明灯，默默地为你驱赶心灵的阴霾。,
幸福,"幸福是""临行密密缝，意恐迟迟归""的牵挂；幸福是""春种一粒粟，秋收万颗子""的收获。",
幸福,"幸福是""采菊东篱下，悠然见南山""的闲适；幸福是""随风潜入夜，润物细无声""的奉献。",
幸福,"幸福是""零落成泥碾作尘，只有香如故""的圣洁；幸福是""先天下之忧而忧，后天下之乐而乐""的胸怀。",
幸福,"幸福是""人生自古谁无死，留取丹心照汗青""的气节；幸福是""夜来风雨声，花落知多少""的恬淡。",
成功与失败,种子，如果害怕埋没，那它永远不能发芽；鲜花，如果害怕凋谢，那它永远不能开放。,
成功与失败,矿石，如果害怕焚烧，那它永远不能成钢；航船，如果害怕风浪，那它永远不能到达彼岸。,
青春,青春是一首歌，她拨动着我们年轻的心弦；青春是一团火，她点燃了我们沸腾的热血。,
青春,青春是一面旗帜，她召唤着我们勇敢前行；青春是一本教科书，她启迪着我们的智慧和心灵。,
人生,如果说人生是一首优美的乐曲，那么痛苦则是一个不可缺少的音符。,
人生,如果说人生是一望无际的大海，那么挫折则是其中一朵骤然翻起的浪花。,
人生,如果说人生是湛蓝的天空，那么失意则是天际一朵漂浮的白云。,
书籍,书籍好比一架梯子，它能引导我们登上知识的殿堂；书籍如同一把钥匙，它能帮助我们开启心灵的智慧之窗。,
时间,时间好像一把尺子，它能衡量奋斗者前进的进程；时间如同一架天平，它能称量奋斗者成果的重量。,
时间,时间就像一把皮鞭，它能鞭策我们追赶人生的目标；时间犹如一面战鼓，它能激励我们加快前进的脚步。,
爱心,爱心是一股甜甜的泉水，使不幸的人忘记生活的苦涩；爱心是一首动听的歌谣，使生活枯燥的人感到生活的乐趣。,
爱心,爱心是一片照射在冬日的阳光，使贫病交迫的人感到人间的温暖；爱心是一柄撑起在雨夜的小伞，使漂泊异乡的人得到亲情的荫庇。,
爱心,爱心是一道飞架在天边的彩虹，使满目阴霾的人见到世界的美丽；爱心是一杯泼洒在头顶的冰水，使高热发昏的人能冷静地思索。,
生命,假如生命是一株小草，我愿为春天献上一点嫩绿；假如生命是一棵大树，我愿为夏日撒下一片绿阴。,
生命,假如生命是一朵鲜花，我愿为世界奉上一缕馨香；假如生命是一枚果实，我愿为人间留下一丝甘甜。,
生命,如果说生命是一本书，那么时间则是一支笔，书写着人生；如果说生命是一张白纸，那么时间则是一把颜料，描绘着人生。,
生命,如果说生命是一条长河，那么时间则是涌动的波涛，推动着人生；如果说生命是一棵树，那么时间则是一片片绿叶，充实着人生。,
祖国,黄土高原，是我挺起的胸膛；黄河流水，是我沸腾的血液；黄山劲松，是我不屈的脊梁。,
祖国,大兴安岭，是我坚硬的肋骨；洞庭鄱阳，是我明亮的眼睛；巍巍长城，是我不屈的脊梁。,
大自然,成熟的稻穗低着头，那是在启示我们要谦虚；一群蚂蚁抬走骨头，那是在启示我们要齐心协力。,
大自然,长江东流奔腾不息，那是在启示我们为理想奋斗；梅花雪中绽放，那是在启示我们要坚韧不拔。,
学习,"有勤，才有了孔子""韦编三绝""的佳话；有勤，才有了祖逖""闻鸡起舞""的美谈。",
学习,"有勤，才有了曹雪芹""披阅十载，增删五次""的壮举；有勤，才有了苏秦""头悬梁，锥刺股""的刻苦。",
人生态度,你无法改变容貌，但你可以展示笑容；你无法左右天气，但你可以改变心情。,
人生态度,你无法预知明天，但你可以把握今天；你无法样样顺利，但你可以事事尽力。,
成长,花从春走过，留下缕缕花香；叶从夏走过，留下片片荫凉；雪从冬走过，留下种种希望。,
成长,风从水上走过，留下粼粼波纹；骆驼从沙漠上走过，留下深深的脚印；岁月从树林穿过，留下圈圈年轮。,
毅力,小溪是勇敢的，它不畏高山峻岭的阻隔，勇往直前；大树是坚强的，它不畏狂风暴雨的打击，昂首屹立。,
毅力,灯塔是无畏的，它不怕无边黑暗的包围，永放光芒；蜡烛是无私的，它燃烧自己，照亮别人。,
拥有,拥有青春，就拥有了一份潇洒和风流；拥有青春，就拥有了一份灿烂和辉煌。,
拥有,拥有知识，就拥有了无限的光明和希望；拥有知识，就拥有了无限的力量和财富。,
拥有,拥有友情，就拥有了一份理解和支持；拥有友情，就拥有了一份快乐和温馨。,
美德,钱能买到佳肴，不能买到胃口；钱能买到书籍，不能买到知识；钱能买到药品，不能买到健康。,
美德,钱能买到时装，不能买到美丽；钱能买到朋友，不能买到友谊；钱能买漂亮的眼镜，但买不来明亮的眼睛。,
观察,从秋叶的飘零中，我们读出了季节的变换；从归雁的行列中，我读出了集体的力量。,
观察,从冰雪的消融中，我们读出了春天的脚步；从穿石的滴水中，我们读出了坚持的可贵。,
观察,从蜂蜜的浓香中，我们读出了勤劳的甜美；从蚂蚁的忙碌中，我们读出了团结的意义。,
生活状态,我向往一种生活状态，叫做安详，安详就像夕阳下散步的老人，任云卷云舒。,
生活状态,我憧憬另一种生活状态，叫做拼搏，拼搏就像暴风雨中的海燕，任雷鸣电闪。,
生活状态,我渴望还有一种生活状态，叫做奋进，奋进就像海上行驶的帆船，任浪打风吹。,
语文,语文是滋味甘醇的美酒，让人回味无穷；语文是色彩缤纷的花园，让人流连忘返。,
语文,语文是意境深远的油画，让人惊叹不已；语文是旋律优美的音乐，让人陶醉其中。,
希望,每一汪水塘里，都有海洋的气息；每一棵嫩叶上，都有春天的芬芳。,
希望,每一棵绿树上，都有森林的苍翠；每一滴露珠上，都有太阳的光辉。,
老师,老师是春雨，把点点滴滴的知识洒在我们心里；老师是红烛，燃烧自己照亮别人。,
老师,老师是园丁，辛勤培育我们成长；老师是航灯，指引我们前行的方向。,
读书,书是钥匙，能开启智慧之门；书是阶梯，能登上理想的高峰。,
读书,书是良药，能医治愚昧之症；书是乳汁，能哺育我们成长；书是帆船，能带我们驶向远方。,
感恩,感恩春天，它给了我们温暖的阳光；感恩夏天，它给了我们葱茏的绿意；感恩秋天，它给了我们丰收的喜悦；感恩冬天，它给了我们宁静的雪白。,
人生感悟,人生最大的乐趣是奉献；思维中最美的花朵是智慧；前进中最快的脚步是继续；朋友中最好的记忆是笑声。,
校园生活,抬眼望去，有的文具在舞台周围忙碌地穿梭着，精心地布置着场地；有的文具兴奋地晃动着身体，仿佛在热舞暖场；还有的文具静静地坐在一旁，微微闭着眼睛，酝酿着情感。,
景物描写,鱼成群结队地在珊瑚丛中穿来穿去，有的全身布满彩色的条纹；有的头上长着一簇红缨；有的周身像插着好些扇子，游动的时候飘飘摇摇。,
景物描写,春天，微风缓缓地吹过田野，吹过山岭；嫩绿的小草从地里睡醒，慢慢地把脑袋伸出地面；小树发芽了，它们随着风儿翩翩起舞。,
我向往,我向往一种生活状态，叫做——安详，安详就像夕阳下散步的老人，任云卷云舒。,
我向往,我也憧憬另一种生活状态，叫做——拼搏，拼搏就像暴风雨中的海燕，任雷鸣电闪。,
我向往,我渴望还有一种生活状态，叫做——奋进，奋进就像海上行驶的帆船，任浪打风吹。,
童年,童年是旭日，老年是夕阳，岁月充满变幻的风云，理想则是人生永远的北斗。,
告别,燕子去了，有再来的时候；杨柳枯了，有再青的时候；桃花谢了，有再开的时候。,
回忆,再回首，是一串充满酸甜苦辣的昨天：昨天，有我们在课堂上的争论；昨天，有我们在球场上的奔跑；昨天，有我们在考场上的奋斗。,
回忆,再回首，昨天有我们在烛光中的歌唱；昨天，有我们在操场上的欢笑；昨天，有我们在树荫下的悄悄话。,
春雨,春雨，染绿了世界，而自己却无声地消失在泥土之中。老师，您就是滋润我们心田的春雨。,
梦想要坚持,梦想是黑夜中的灯塔，指引着航船的方向；梦想是寒冬里的炭火，温暖着冰冷的心灵；梦想是沙漠中的绿洲，安抚着干渴的灵魂。,
努力的回报,努力是石，敲出星星之火；努力是火，点燃希望的灯；努力是灯，照亮夜行的路；努力是路，引你走向黎明。,
坚持的力量,坚持是水滴石穿的耐心，让人看到奇迹；坚持是愚公移山的信念，让人超越极限；坚持是铁杵磨针的恒心，让人收获成功。,
自信,自信是人生的一盏明灯，照亮前行的路；自信是成长的一双翅膀，带我们飞向远方；自信是青春的一首赞歌，唱出最动听的声音。,
