section,order,content
structure,1,"第1步 开头（进入想象世界）：梦境式/魔法式/穿越式/假如式——让读者相信你真的进入了那个世界"
structure,2,"第2步 新世界的体验（重点写！）：看到了什么+听到了什么+我的感受+遇到了谁+发生了什么有趣的事"
structure,3,"第3步 遇到困难或挑战（让故事有起伏）：我遇到了什么麻烦→怎么解决的（靠智慧/善良/勇敢）→懂得了什么"
structure,4,"第4步 结尾（回到现实或留下回味）：回到现实写感悟/留在想象世界写结局——无论怎么写，要让人有所回味"
tip,1,"❶ 基于现实想：想象不能乱编，要有现实基础。未来的学校可以飞，但还是要上课——只是教室在云朵上"
tip,2,"❷ 细节要具体：把想象的东西写得像真的一样。不说\"未来很神奇\"，要说\"空中飘着五颜六色的糖果屋，每扇窗都闪着七彩的光\""
tip,3,"❸ 情节有起伏：不能一路平淡到底。正开心呢→遇到了大麻烦→最后靠智慧解决了"
tip,4,"❹ 代入真实感受：想象自己的反应。例如：我紧张得手心冒汗，生怕被发现了"
tip,5,"❺ 用修辞增色：让想象更生动。不说\"天上有好多星星\"，要说\"夜空像一块巨大的黑丝绒，上面嵌满了闪闪发光的钻石\""
tip,6,"❻ 结尾有意义：不要只是\"梦醒了\"，要写出感悟。例如：勇敢不是不害怕，而是害怕了还往前走"
topic,1,"《我变成了___》→ 会怎样生活+有什么奇遇"
topic,2,"《假如我有一双翅膀》/《假如我会飞》→ 飞到哪+看到了什么+做了什么"
topic,3,"《未来的___》（学校/汽车/教室）→ 和现在有什么不同+怎么用"
topic,4,"《神奇的___》（如神奇的笔/会飞的房子）→ 怎么神奇+用它做了什么"
topic,5,"《二十年后的家乡》→ 家乡的变化+见到亲人朋友+感受"
topic,6,"《___的奇遇》（如小蚂蚁的奇遇/书包的旅行）→ 遇到谁+发生了什么+最后怎么样了"
pitfall,1,"❌ 想象太离谱 → ✅ 基于现实+合理延伸。不要\"我变成奥特曼打死所有怪兽\"，要\"我变成一颗小星星，每天晚上给迷路的人照亮\""
pitfall,2,"❌ 只写\"好神奇\" → ✅ 写出具体的样子。不要\"未来的房子很神奇\"，要\"未来的房子是蘑菇形状的，屋顶下雨变蓝，天晴变黄\""
pitfall,3,"❌ 没有故事 → ✅ 有起因经过结果。不要\"变成云很开心，飞来飞去\"，要\"遇到了暴风雨，我用身体挡住大雨保护了村庄\""
pitfall,4,"❌ 结尾太随便 → ✅ 写出感想。不要\"然后梦醒了\"，要\"虽然只是一场梦，但我明白了每个生命都有自己的价值\""
checklist,1,开头有没有说明怎么进入想象世界的？
checklist,2,想象有没有细节（看到/听到/感受到）？
checklist,3,故事有没有"起起伏伏"？
checklist,4,结尾有没有让人回味？
