group,sentence,source
课间活动,下课铃响了，同学们快步走出教室，到操场上参加自己喜欢的课间活动，校园里顿时沸腾起来。,
课间活动,下课了，同学们有的在画画，有的在聊天，还有的在擦黑板。,
课间活动,操场上热闹非凡，同学们有的跳绳，有的踢毽子，有的打乒乓球，欢声笑语回荡在校园上空。,
课间活动,乒乓球台的四周围满了同学，不时传来喝彩声和欢笑声。乒乓小将们打得多认真啊！他们你推我挡，一个球常常打了十几个回合还不分胜负。,
课间活动,"""丢沙包""是同学们十分喜爱的活动。两头丢沙包的同学密切合作，向中间的同学发起猛攻。中间的同学左躲右闪，灵活极了。",
课间活动,只见一个小同学纵身一跃，用力抓住竹竿，像敏捷的猴子，迅速地爬了上去。不一会儿，他就爬到了杆顶，笑着向下张望。,
课间活动,"""丁零零……""上课铃响了，同学们纷纷回到座位上坐好，脸上挂着笑容，在回味这个愉快的课间呢！",
课间活动,下课铃一响，安静的校园立刻沸腾起来。同学们像潮水一样涌向操场，开始了快乐的课间活动。,
课间活动,我和同学在走廊上玩拍手游戏，你一下我一下，谁被打到谁就输了。我们玩得不亦乐乎，直到上课铃响才依依不舍地回到教室。,
运动会,"""预备——跑！""随着一声发令枪响，跑道上的运动员们像离弦的箭一样冲了出去。",
运动会,"赛场边，啦啦队的呐喊声此起彼伏：""加油！加油！""那声音震天响，仿佛要把整个运动场都掀翻了。",
运动会,离终点越来越近了，他咬紧牙关，奋力冲向红线。就在冲过终点的那一刻，全班同学都沸腾了！,
运动会,眼看就要到终点了，他却突然摔倒了。大家都惊住了。谁知他迅速爬了起来，一瘸一拐地跑到了终点——全场响起了雷鸣般的掌声。,
运动会,"我站在起跑线上，心里像揣了一只小兔子，""怦怦""跳个不停。但我深吸一口气，告诉自己：我能行！",
运动会,在4×100米接力赛中，我们班的最后一棒一马当先，第一个冲过了终点线。我们赢了！大家激动得又蹦又跳，有的甚至流下了眼泪。,
运动会,拔河比赛开始了！双方队员都紧紧抓住绳子，脚蹬着地，身子使劲往后倾。红绸子在中间来回移动，谁也不肯让谁。,
运动会,他虽然跑得不快，但依然坚持跑完了全程。冲过终点时，他大口大口地喘着气，脸上却露出了灿烂的笑容。,
运动会,那一刻，我懂得了：比胜利更重要的，是拼搏的精神和团队的温暖。,
课堂学习,同学们坐在教室里，聚精会神地听老师讲课，像几十株花儿在静悄悄地承受着辛勤园丁的浇灌。,
课堂学习,琅琅的读书声从各个教室飞出来，像动人的童声大合唱，音符满天。,
课堂学习,小飞坐在座位上，埋头只顾写呀写呀，笔底下好像有源源不断的泉水涌流出来。,
课堂学习,娟娟用普通话朗读课文，声音脆生生，很是好听，连阳光也听得入了迷，偷偷地从窗口钻进了教室。,
课堂学习,老师讲课的声音时高时低地变化着，仿佛山间的清泉，缓缓流过我的心田。,
课堂学习,我完全被老师讲的课吸引住了，时而凝神深思，时而神采飞扬，时而频频点头，时而低头微笑。,
课堂学习,"老师的问题一抛出，同学们纷纷举起了小手，有的甚至急得从座位上站了起来，嘴里喊着""我来！我来！""",
课堂学习,"教室里鸦雀无声，只听见笔尖在纸上""沙沙""作响，同学们正在紧张地进行期中考试。",
课堂学习,老师提出一个问题后，教室里立刻热闹起来，同学们七嘴八舌地议论着，各抒己见。,
课堂学习,看着黑板上密密麻麻的板书，我恍然大悟——原来这道题可以这样解！那种豁然开朗的感觉，真痛快！,
课外活动,我们来到郊外，这里空气清新，绿草如茵。同学们像出笼的小鸟一样，在草地上尽情地奔跑、嬉戏。,
课外活动,植树节那天，我们来到山坡上植树。大家分工合作——有的挖坑，有的扶苗，有的培土，有的浇水，干得热火朝天。,
课外活动,"风筝比赛开始了，五颜六色的风筝争先恐后地飞上瓦蓝的天空。有""蝴蝶""，有""老鹰""，有""孙悟空""……它们在空中各显神通，令人目不暇接。",
课外活动,春游的车上，同学们一路上欢歌笑语。窗外的风景在飞快地后退，而我们的心早已飞到了目的地。,
课外活动,在手工课上，我笨手笨脚地折着一只纸鹤。同桌看见了，微笑着手把手地教我。当纸鹤在我手中成形时，我心里别提有多高兴了！,
课外活动,"那天下午，我们在操场上玩了""两人三足""的游戏。""一二一，一二一……""我们喊着口号，齐心协力地向前冲。",
课外活动,第一次上台演讲，我紧张得手心全是汗。当我看到台下老师鼓励的目光时，我深吸一口气，勇敢地开了口。,
课外活动,"社会实践活动那天，我们去敬老院看望老人。我给一位老奶奶梳头、讲故事，她拉着我的手连声说""好孩子""。那一刻，我心里暖洋洋的。",
课外活动,激烈的辩论赛开始了！正反双方唇枪舌剑，你来我往。教室里掌声不断，气氛热烈极了。,
课外活动,"实验室里，我们小心翼翼地做着科学实验。当试管里的液体变红的那一刻，我们兴奋地叫了起来：""成功了！""",
