group,sentence,source
描写自然,太阳西沉，天空出现粉红的绸丝缎，那是晚霞。天上的云彩，有的像山峰，有的像奔马，有的像狮子……好看极了！,
描写自然,那一朵朵雪花就像一个个身穿白衣的天使，把房子染白了，把草地染白了，把高山染白了……,
描写自然,那溪水是那么清，溪水映着蓝天、白云，仿佛又是一片天空。,
描写自然,秋天就像一幅金色的图画，到处是丰收的景象。,
描写自然,一片片落叶从树上飞下，像一只只彩蝶翩翩起舞。,
描写自然,一望无际的田野里，金灿灿的稻子成熟了，就像一块块金子。,
描写自然,微风吹过，金色的水稻随风摆动，犹如金色的海洋。,
描写自然,"远看竹林是汪洋的竹海，碧绿的""海浪""一浪盖过一浪。",
描写自然,阳光下，河面波光粼粼，像无数的小星星在闪烁。,
描写自然,叮咚叮咚，清脆悦耳的河水声是那么柔美，那是大自然的旋律，是一支动听的歌。,
描写自然,微风吹来，江面上泛起朵朵浪花，发出有节奏的哗哗声，好像一支乐曲。,
描写自然,彩虹辉映着湛蓝的晴空，阵阵凉风吹来，两岸的风光更加动人。,
描写自然,一阵微风吹过，金色的水稻随风摆动，犹如金色的海洋。,
描写自然,"远看，那竹林是汪洋的竹海，碧绿的""海浪""一浪盖过一浪。",
描写自然,秋天，枫叶一个个落地，像一个红红的地毯。,
描写自然,当你站在桥上眺望，一条银白色的玉带桥，拱起在河口上，那玲珑剔透的造型，给碧波荡漾的河水增添了夺目的光彩。,
描写自然,每一片法国梧桐树的落叶，都像一个金色的小巴掌，熨帖地、平展地粘在水泥道上。,
描写自然,水街的另一边是一排翠绿的柳树，一阵风吹来，柳树那翠绿的衣裙像仙女一般翩翩起舞。,
描写自然,每当夜幕降临的时候，喷泉喷出的水珠，有的像仙女散花一样美丽，有的像火树银花般灿烂。,
描写自然,清风拂过，水面漾起层层涟漪，像春姑娘皱起的眉头。,
描写自然,雨后，街道旁的大树畅快地洗了个澡。没擦干净的水珠在叶子上打滚，玩得不亦乐乎。,
描写自然,远山的轮廓被晚霞镀上了一层金边，像一幅刚刚落笔的水墨画，墨迹还未干透。,
描写自然,雾来了，整个城市变成了一座浮在云端的天空之城。,
描写自然,月亮像一瓣剥开的橘子，挂在天上，散发着清冷而温柔的香。,
描写自然,满天的星星像被谁撒了一把碎钻，在深蓝色的天鹅绒上闪闪发光。,
描写自然,瀑布像一匹银色的绸缎从山顶倾泻而下，在阳光下泛着耀眼的光芒。,
描写人物,她的脸上有一双带着稚气的、被长长的睫毛装饰起来的美丽的眼睛，就像两颗水晶葡萄。,
描写人物,他那红嘟嘟的脸蛋闪着光亮，像九月里熟透的苹果一样。,
描写人物,他的耳朵白里透红，耳轮分明，像是一件雕刻出来的艺术品。,
描写人物,她的皮肤白得像雪一样。,
描写人物,老师就像春雨，不辞劳苦地把点点滴滴的知识洒在我们的心里。,
描写人物,老师像红烛，燃烧了自己，照亮了别人。,
描写人物,母爱像一缕阳光，即使在寒冷的冬天也能让你感到温暖如春。,
描写人物,妈妈的爱像春雨，润物细无声地滋润着我的心田。,
描写人物,父亲的爱像大山，沉稳而厚重。,
描写人物,她的脸像一朵盛开的向日葵，走到哪里，阳光就跟到哪里。,
描写人物,妈妈的笑容像春天里绽放的花，温暖了整个家。,
