group,sentence,source
描写速度,他跑得飞快，快得像一阵风。,
描写速度,一眨眼的功夫，他就跑到了操场的另一头。,
描写速度,他就像离弦的箭一样冲向终点。,
描写速度,他跑起来地动山摇，轰隆隆的脚步声整个操场都听得见。,
描写速度,他快步如飞，路边的小树都被他带起的风吹得东倒西歪。,
描写速度,他一溜烟就不见了踪影，仿佛脚下踩着一对风火轮。,
描写速度,他三步并作两步，一转眼就爬到了山顶。,
描写速度,运动员像猎豹一般冲出起跑线，快得连裁判都来不及眨眼。,
描写速度,我脚底像装了弹簧，嗖地一下窜出去，耳边只剩风声呼啸。,
描写速度,"我刚喊出""开始""，他已经像一颗出膛的子弹射向终点。",
描写速度,他像一只受惊的兔子，撒腿就跑，眨眼间就消失在路的尽头。,
描写速度,她的速度惊人，我还没反应过来，她已经像蝴蝶一样飞到了终点。,
描写声音,教室里安静得连一根针掉在地上都能听见。,
描写声音,他的歌声震耳欲聋，好像要把屋顶掀翻了。,
描写声音,雷声大得好像要把天都震裂了。,
描写声音,她的声音小得像蚊子叫，只有她自己能听见。,
描写声音,他打呼噜的声音像打雷一样，整栋楼都听得见。,
描写声音,同学们的笑声大得快把教室的玻璃都震碎了。,
描写声音,瀑布的声音像万马奔腾，震得大地都在颤抖。,
描写声音,他的嗓门大得能让十里外的人都听得清清楚楚。,
描写声音,他一声怒吼，把房顶上的灰尘都震落了下来。,
描写声音,她的歌声一起，连窗外树上的小鸟都忘了飞，呆呆地站在枝头听。,
描写声音,那声尖叫像一把锋利的刀，划破了整条街的宁静。,
描写声音,他的呼噜声简直是一台轰轰作响的拖拉机，一夜都不停歇。,
描写程度,这个西瓜甜得像是泡在蜜罐里一样。,
描写程度,今天热得都能在马路上煎鸡蛋了。,
描写程度,他饿得能吃下一头牛。,
描写程度,这朵花香得十里外都能闻到。,
描写程度,他渴得能喝下整条河的水。,
描写程度,爷爷的烟瘾大得一天能抽一麻袋烟。,
描写程度,他气得肺都要炸了。,
描写程度,这件衣服轻得像羽毛一样。,
描写程度,我困得站着都能睡着。,
描写程度,他的力气大得能把一头牛举起来。,
描写程度,她的眼泪多得像一条小河，哗哗地流个不停。,
描写程度,这橘子酸得让我口水一下子涌出来，牙都快倒了。,
描写程度,他瘦得好像一阵风就能把他吹跑。,
描写程度,他胖得连门都挤不进去。,
描写程度,这水冰得能冻掉手指头。,
描写程度,她的眼睛大得像铜铃。,
描写程度,他吓得魂都飞到九霄云外去了。,
描写程度,我觉得这个碗有千斤重，怎么也送不到嘴边。,
描写程度,她的微笑能融化整个冬天的冰雪。,
描写程度,他说起话来滔滔不绝，三天三夜都说不完。,
描写心情,听到这个好消息，我高兴得一蹦三尺高。,
描写心情,他吓得脸都白了，腿像筛糠一样抖个不停。,
描写心情,同学们激动得快要跳起来了。,
描写心情,我开心得心都要飞出来了。,
描写心情,他伤心极了，眼泪像断了线的珠子往下掉。,
描写心情,她听到这个消息，激动得心都要跳出胸膛了。,
描写心情,他害怕得连头发都竖起来了。,
描写心情,我急得像热锅上的蚂蚁团团转。,
描写心情,他紧张得心提到了嗓子眼。,
描写心情,她气得头发都竖起来了。,
描写心情,他感动得眼泪像开了闸的洪水，止都止不住。,
描写心情,得知考了满分，我高兴得连走路都像踩在云朵上，飘忽忽的。,
描写心情,他羞愧得脸像烧红的铁，连头都不敢抬一下。,
描写心情,我的心像十五个吊桶打水——七上八下，忐忑不安。,
描写心情,他喜极而泣，眼泪和笑声一齐涌了出来。,
描写心情,那一刻，我心里像打翻了五味瓶，苦辣酸甜全搅在了一起。,
描写心情,她的脸红得像熟透的番茄，恨不得找个地缝钻进去。,
描写心情,他那颗悬着的心，终于像一块石头落了地。,
描写心情,我吓得连大气都不敢出，心怦怦直跳，像揣了一只小兔子。,
描写数量,桂花开了，香飘十里。,
描写数量,教室里乱成了一锅粥。,
描写数量,操场上人山人海，连插脚的地方都没有。,
描写数量,图书馆里的书多得可以用牛车来装。,
描写数量,天上的星星多得数也数不清。,
描写数量,广场上的人川流不息，像蚂蚁搬家一样密密麻麻。,
描写数量,花园里的花成千上万，看都看不过来。,
描写数量,冬天的大雪下得把整个村庄都埋起来了。,
描写数量,他家的院子里种满了果树，秋天时果子多得像天上的星星。,
描写数量,美食街上的小吃摊一个挨一个，吃得你三天三夜也尝不完。,
描写数量,月光洒下来，碎银似的铺满了整个湖面，怎么捞都捞不完。,
描写数量,他的心里装着说不完的故事，三天三夜也讲不完。,
描写数量,地上铺满了落叶，厚得像一层金黄色的地毯，踩上去沙沙作响。,
描写数量,礼物堆得跟小山似的，他拆了一个又一个，永远也拆不完。,
描写外貌,他的脸比锅底还黑。,
描写外貌,她的皮肤白得像雪一样。,
描写外貌,他的胳膊粗得像小树干。,
描写外貌,她的腰细得像一根柳条。,
描写外貌,他瘦得像一根火柴棍。,
描写外貌,他胖得连门都挤不进去。,
描写外貌,她的眼睛像葡萄一样大。,
描写外貌,他的手大得像蒲扇一样。,
描写外貌,他长得像头壮实的小牛犊，浑身上下都是劲儿。,
描写外貌,她的脸红扑扑的，像秋天刚摘下的红苹果。,
描写外貌,他的胡子像乱草一样扎满了整张脸，都快看不清五官了。,
描写外貌,她一笑，两个小酒窝像盛满了蜜，甜得能腻死人。,
描写外貌,她的头发黑得像墨汁，在阳光下却闪着缎子般的光泽。,
描写外貌,他有双小扇子般的手，大得连一个篮球都能轻松握住。,
描写外貌,他浑身晒得乌黑发亮，像刚从煤堆里爬出来似的。,
描写外貌,他的脸上爬满了皱纹，深得像一道道干涸的河床。,
