group,sentence,explanation,example
写景-春,春色满园关不住，一枝红杏出墙来。,满园的春色是关不住的，一枝红杏探出墙头来。写春天生机盎然。,"看到花园里花开得正盛，我想起了""春色满园关不住，一枝红杏出墙来""。"
写景-春,等闲识得东风面，万紫千红总是春。,随处都能看到春天的面貌，万紫千红全是春天带来的。写春天百花盛开。,"公园里万紫千红，真是""等闲识得东风面，万紫千红总是春""。"
写景-春,不知细叶谁裁出，二月春风似剪刀。,不知道细细的柳叶是谁裁出来的？原来是二月的春风像剪刀一样。写春天柳树的优美。,"柳树发出新芽，就像诗中说的""不知细叶谁裁出，二月春风似剪刀""。"
写景-春,好雨知时节，当春乃发生。,好雨似乎懂得季节，春天一到就下起来了。写春雨的及时。,"""好雨知时节，当春乃发生""，这场雨下得正是时候。"
写景-春,随风潜入夜，润物细无声。,春雨伴着春风悄悄在夜里下起来，无声地滋润着万物。写春雨的温柔细腻。,"老师的爱就像春雨一样""随风潜入夜，润物细无声""。"
写景-春,春眠不觉晓，处处闻啼鸟。,春天睡得正香不知不觉天亮了，到处都能听到鸟叫的声音。写春天早晨的生机。,"春天的早晨，""春眠不觉晓，处处闻啼鸟""，我被小鸟叫醒了。"
写景-春,迟日江山丽，春风花草香。,春天的太阳照耀着江山格外美丽，春风中飘来花草的香味。写春日美景。,"春天出去踏青，感受""迟日江山丽，春风花草香""的美丽。"
写景-春,碧玉妆成一树高，万条垂下绿丝绦。,高高的柳树像用碧玉装扮成的，枝条像千万条绿色的丝带垂下。写春天柳树的形象。,"湖边柳树""碧玉妆成一树高，万条垂下绿丝绦""，美丽极了。"
写景-春,天街小雨润如酥，草色遥看近却无。,春雨像酥油一样滋润着大地，远看有草色近看却看不到。写初春小草刚刚萌发的景象。,"""天街小雨润如酥，草色遥看近却无""，春天悄悄地来了。"
写景-春,最是一年春好处，绝胜烟柳满皇都。,早春是一年中最美的季节，远胜满城烟柳的晚春。写早春比晚春更美。,"""最是一年春好处，绝胜烟柳满皇都""，早春真的很美。"
写景-春,竹外桃花三两枝，春江水暖鸭先知。,竹林外开着几枝桃花，江水变暖了鸭子最先知道。写早春的生机。,"""竹外桃花三两枝，春江水暖鸭先知""，春天来了。"
写景-春,几处早莺争暖树，谁家新燕啄春泥。,几处早来的黄莺争着飞上暖树，谁家的燕子正在衔春泥筑巢。写春天的热闹景象。,"春天到了，真是""几处早莺争暖树，谁家新燕啄春泥""。"
写景-春,乱花渐欲迷人眼，浅草才能没马蹄。,杂花越开越多让人眼花缭乱，刚长出的浅草刚好没过马蹄。写春天的繁花与嫩草。,"草地上""乱花渐欲迷人眼，浅草才能没马蹄""，春意正浓。"
写景-春,日出江花红胜火，春来江水绿如蓝。,太阳出来江花红得比火还艳，春天江水绿得像蓝草一样。写江南春景的美丽。,"""日出江花红胜火，春来江水绿如蓝""，江南的春天太美了。"
写景-春,千里莺啼绿映红，水村山郭酒旗风。,千里江南莺歌燕舞，绿树红花相映，水边村庄山城酒旗迎风。写江南春天的广阔画面。,"""千里莺啼绿映红，水村山郭酒旗风""，描绘的正是江南春景图。"
写景-夏,小荷才露尖尖角，早有蜻蜓立上头。,小荷叶刚露出尖尖的角，就有蜻蜓停在上面了。写初夏小池的生机。,"池塘里""小荷才露尖尖角，早有蜻蜓立上头""，真美。"
写景-夏,接天莲叶无穷碧，映日荷花别样红。,莲叶无边无际一片碧绿，荷花在阳光下格外红艳。写夏日荷花的壮观。,"看到满池的荷花，我想到了""接天莲叶无穷碧，映日荷花别样红""。"
写景-夏,毕竟西湖六月中，风光不与四时同。,六月的西湖风光与其他季节不一样，格外美丽。写盛夏西湖的独特。,"""毕竟西湖六月中，风光不与四时同""，夏天的西湖真的太美了。"
写景-夏,泉眼无声惜细流，树阴照水爱晴柔。,泉眼无声是因为爱惜泉水，树阴映在水面是因为喜欢晴天的柔和。写夏日池塘的宁静。,"""泉眼无声惜细流，树阴照水爱晴柔""，小池塘真安静。"
写景-夏,黑云翻墨未遮山，白雨跳珠乱入船。,乌云像墨一样翻涌，雨点像珠子一样跳进船里。写夏日暴雨的猛烈。,"夏天的暴雨来得快，""黑云翻墨未遮山，白雨跳珠乱入船""。"
写景-夏,黄梅时节家家雨，青草池塘处处蛙。,梅雨时节家家都在雨幕中，青草池塘处处响起蛙声。写江南梅雨季节。,"""黄梅时节家家雨，青草池塘处处蛙""，夏天的夜晚真热闹。"
写景-夏,明月别枝惊鹊，清风半夜鸣蝉。,明亮的月亮惊醒了枝头的喜鹊，清凉的半夜传来蝉鸣。写夏夜乡村的美景。,"夏夜散步时想起""明月别枝惊鹊，清风半夜鸣蝉""。"
写景-夏,稻花香里说丰年，听取蛙声一片。,稻花香里人们谈论着丰收年，耳边传来一片蛙声。写夏日丰收的喜悦。,"走在田埂上，""稻花香里说丰年，听取蛙声一片""。"
