group,sentence,explanation,example
学习进取,书山有路勤为径，学海无涯苦作舟。,勤奋是攀登书山的道路，吃苦是渡过学海的小船，比喻学习要靠勤奋和吃苦。,"老师用""书山有路勤为径，学海无涯苦作舟""来鼓励我们好好学习。"
学习进取,读书破万卷，下笔如有神。,读的书多了，写起文章来就像有神助一样顺畅。,我们要多读书，正所谓读书破万卷，下笔如有神。
学习进取,世上无难事，只怕有心人。,世界上没有做不到的事情，只要有决心和毅力。,世上无难事，只怕有心人，只要坚持就一定能学会。
学习进取,只要功夫深，铁杵磨成针。,只要有恒心和毅力，再难的事也能做成。,他每天练字一小时，果然只要功夫深铁杵磨成针，字越写越好了。
学习进取,少壮不努力，老大徒伤悲。,年轻时不努力，到老了只能白白地伤心后悔。,老师常对我们说少壮不努力老大徒伤悲，要珍惜时间好好学习。
学习进取,黑发不知勤学早，白首方悔读书迟。,年轻时不知道早点勤奋学习，到老了才后悔读书太晚了。,想起这句话我就提醒自己：黑发不知勤学早白首方悔读书迟。
学习进取,活到老，学到老。,人的一生都要学习，永远没有尽头。,爷爷七十岁了还在学电脑，真是活到老学到老。
学习进取,三百六十行，行行出状元。,各行各业都有杰出的人才，只要努力都能做出成绩。,不管学什么，三百六十行行行出状元。
学习进取,聪明在于学习，天才在于积累。,人聪明是因为爱学习，有天才是因为肯积累。,他成绩好是因为很努力，聪明在于学习天才在于积累。
学习进取,温故而知新，可以为师矣。,复习旧知识能获得新理解，这样的人就可以当老师了。,孔子说温故而知新可以为师矣，我们要常常复习学过的知识。
学习进取,学而不思则罔，思而不学则殆。,只学习不思考就会迷惘，只思考不学习就会疑惑。,学习要学思结合，学而不思则罔思而不学则殆。
学习进取,三人行，必有我师焉。,几个人一起走，其中一定有可以当我老师的人。,三人行必有我师焉，每个人身上都有值得我学习的地方。
学习进取,玉不琢，不成器；人不学，不知理。,玉不雕刻不会成为器物，人不学习就不懂得道理。,爸爸说玉不琢不成器人不学不知理，所以我一定要好好学习。
学习进取,刀不磨要生锈，人不学要落后。,刀不磨会生锈，人不学习就会落后于别人。,我们要天天学习，刀不磨要生锈人不学要落后。
学习进取,天才在于勤奋，知识在于积累。,天才来自勤奋，知识靠一点一滴积累。,他每天都背一首古诗，天才在于勤奋知识在于积累。
学习进取,学问勤中得，富裕俭中来。,学问从勤奋中获得，富裕从节俭中来。,妈妈告诉我学问勤中得富裕俭中来。
学习进取,不吃饭则饥，不读书则愚。,不吃饭会饿肚子，不读书会变得愚笨。,他让我多看书，因为不吃饭则饥不读书则愚。
学习进取,读书须用心，一字值千金。,读书要用心去读，每一个字都很珍贵。,老师教导我们读书须用心一字值千金。
学习进取,敏而好学，不耻下问。,聪明又爱学习，不以向不如自己的人请教为耻。,他不懂就问，敏而好学不耻下问，进步很快。
学习进取,知之为知之，不知为不知，是知也。,知道就是知道，不知道就是不知道，这才是真正的智慧。,考试要诚实，知之为知之不知为不知是知也。
学习进取,学而时习之，不亦说乎？,学了知识时常温习，不也是很快乐的事吗？,每天复习功课，学而时习之不亦说乎。
珍惜时间,一寸光阴一寸金，寸金难买寸光阴。,一寸光阴和一寸金子一样珍贵，但金子买不到时间。,我们要珍惜时间，一寸光阴一寸金寸金难买寸光阴。
珍惜时间,一年之计在于春，一日之计在于晨。,一年的计划在春天就要做好，一天的计划在早晨就要想好。,一年之计在于春一日之计在于晨，我们要珍惜早晨的时光。
珍惜时间,花有重开日，人无再少年。,花儿谢了还能再开，人却不能再回到少年时代。,花有重开日人无再少年，我们要珍惜现在的时光。
珍惜时间,莫等闲，白了少年头，空悲切。,不要虚度光阴，等头发白了才空自悲伤。,岳飞说莫等闲白了少年头空悲切，我们不要浪费时间。
珍惜时间,机不可失，时不再来。,机会不能错过，错过了就不会再来。,这次比赛是很好的锻炼机会，机不可失时不再来。
珍惜时间,光阴似箭，日月如梭。,时间像箭一样飞逝，像梭子一样穿梭，形容时间过得很快。,光阴似箭日月如梭，一转眼我已经上五年级了。
珍惜时间,时间如流水，一去不复回。,时间像流水一样流走了就不会再回来。,时间如流水一去不复回，我们要珍惜每一分钟。
珍惜时间,早起三光，晚起三慌。,早起时间充裕什么事都从容，晚起则手忙脚乱。,奶奶说早起三光晚起三慌，所以我每天都六点半起床。
珍惜时间,今日事今日毕，勿将今事待明日。,今天的事情今天完成，不要拖到明天。,他的习惯是今日事今日毕勿将今事待明日。
珍惜时间,补漏趁天晴，读书趁年轻。,修补房屋要在晴天，读书学习要趁年轻时。,老师常说补漏趁天晴读书趁年轻。
珍惜时间,枯木逢春犹再发，人无两度再少年。,枯树到了春天还能发芽，人却不会有第二次少年时光。,枯木逢春犹再发人无两度再少年，我们要珍惜青春。
珍惜时间,一日无二晨，时间不重临。,一天只有一个早晨，时间不会重新来临。,一日无二晨时间不重临，不要浪费今天。
品德修养,良药苦口利于病，忠言逆耳利于行。,好药虽苦但能治病，忠言虽难听但有利于行动。,老师批评我虽然不好受，但良药苦口利于病忠言逆耳利于行。
品德修养,己所不欲，勿施于人。,自己不愿意的事，不要强加给别人。,你不喜欢别人骗你，那你也别骗别人，己所不欲勿施于人。
品德修养,勿以恶小而为之，勿以善小而不为。,不要因为坏事小就去做，不要因为好事小就不做。,刘备说勿以恶小而为之勿以善小而不为，我们要从小事做起。
品德修养,静以修身，俭以养德。,用安静来修养身心，用节俭来培养品德。,诸葛亮说静以修身俭以养德，我也要学会静下心来。
品德修养,言必信，行必果。,说话一定要讲信用，做事一定要有结果。,他答应的事一定会做到，做到了言必信行必果。
品德修养,满招损，谦受益。,骄傲自满会招来损失，谦虚谨慎会得到益处。,我们做人要谦虚，满招损谦受益。
品德修养,有理走遍天下，无理寸步难行。,有道理到哪里都说得通，没道理寸步难行。,只要你做得对，有理走遍天下无理寸步难行。
品德修养,忍一时风平浪静，退一步海阔天空。,忍让一下风浪就会平息，退让一步天地就会开阔。,同学之间有矛盾，忍一时风平浪静退一步海阔天空。
品德修养,良言一句三冬暖，恶语伤人六月寒。,一句好话让人在冬天也感到温暖，一句坏话让人在夏天也感到寒冷。,说话要友善，良言一句三冬暖恶语伤人六月寒。
品德修养,好借好还，再借不难。,借东西按时归还好，下次再借就容易了。,你借了别人的笔要记得还，好借好还再借不难。
品德修养,君子一言，驷马难追。,君子说出一句话，四匹马拉的车也追不回，形容说话算话。,他答应的事一定会做到，君子一言驷马难追。
品德修养,人无信不立。,人没有信用就无法在社会上立足。,我们要做一个诚实的人，因为人无信不立。
品德修养,真金不怕火炼。,真正的金子不怕火烧，比喻真正坚强的人经得起考验。,真金不怕火炼，他受了委屈也不怕，因为他问心无愧。
品德修养,身正不怕影子斜。,身子站正了就不怕影子是歪的，比喻做事光明磊落就不怕别人说。,身正不怕影子斜，只要我们做对了就不用在乎别人的说法。
品德修养,不做亏心事，不怕鬼敲门。,没做亏心事就不用害怕，心里坦荡。,不做亏心事不怕鬼敲门，我没什么好怕的。
品德修养,滴水之恩，当涌泉相报。,别人给的一滴水之恩，要用涌泉来回报，形容知恩图报。,滴水之恩当涌泉相报，妈妈对我的爱我永远记得。
品德修养,吃水不忘挖井人。,喝水时不要忘记挖井的人，比喻受惠后不忘恩人。,吃水不忘挖井人，我们要感谢那些为我们付出的人。
品德修养,严于律己，宽以待人。,对自己要严格，对别人要宽容。,作为班干部要严于律己宽以待人。
品德修养,知错能改，善莫大焉。,知道错误能改正，没有比这更好的事了。,他虽然犯了错，但知错能改善莫大焉。
行动实践,耳听为虚，眼见为实。,耳朵听到的不一定是真的，亲眼看到的才可信。,耳听为虚眼见为实，我要亲自去看看。
行动实践,百闻不如一见，百见不如一干。,听一百次不如亲眼见一次，见一百次不如亲手做一次。,百闻不如一见百见不如一干，说再多不如做一次。
行动实践,不经一事，不长一智。,不经历一件事情，就不会增长一份智慧。,这次失败让我学到了很多，不经一事不长一智。
行动实践,吃一堑，长一智。,吃一次亏，就增长一次智慧。,他上次被骗了，这次学聪明了，吃一堑长一智。
行动实践,亲身下河知深浅，亲口尝梨知酸甜。,只有亲自去做才能真正了解情况。,他想知道画画难不难，亲身下河知深浅亲口尝梨知酸甜，试了才知道。
行动实践,不当家不知柴米贵，不养儿不知父母恩。,不主持家务不知道日常开销大，不养孩子不知道父母的恩情。,现在我才明白，不当家不知柴米贵不养儿不知父母恩。
行动实践,不下水，一辈子不会游泳；不扬帆，一辈子不会撑船。,不去实践就永远学不会某项技能。,不下水一辈子不会游泳不扬帆一辈子不会撑船，要勇敢尝试。
行动实践,光说不练假把式，光练不说真把式。,光说不做是假的，既做又说才是真的。,光说不练假把式光练不说真把式，我们既要学也要做。
行动实践,千里之行，始于足下。,千里的路程是从脚下第一步开始的，比喻做事从小事做起。,千里之行始于足下，学好英语要从背单词开始。
行动实践,万事开头难。,做什么事情都是刚开始的时候最难。,万事开头难，但只要坚持下去了就会越来越好。
行动实践,一回生，二回熟。,第一次做很生疏，第二次就熟练了。,翻译句子一回生二回熟，多练几次就好了。
行动实践,路不行不到，事不为不成。,路不走就不会到，事不做就不会成。,路不行不到事不为不成，想做就要行动起来。
行动实践,不怕慢，就怕站。,不怕做得慢，就怕停下来不做。,爷爷说学习上不怕慢就怕站，坚持每天进步一点点。
行动实践,要知山中事，须问打柴人。,要知道山里的事就要去问打柴的人，比喻向有经验的人请教。,要知山中事须问打柴人，他在这方面是专家。
行动实践,心动不如行动。,心里想不如马上做，行动最重要。,心动不如行动，别再想了，咱们开始吧。
行动实践,临渊羡鱼，不如退而结网。,在河边羡慕鱼不如回家织网来捕鱼，比喻空想不如行动。,临渊羡鱼不如退而结网，与其羡慕别人不如自己努力。
