section,order,content
structure,1,"第1步 开头（引出人物）：开门见山/外貌引入/悬念引入/名言引入，点明要写的人"
structure,2,"第2步 外貌（只选1~2个特征）：眼睛、笑容、头发、身材、常穿的衣服、标志性动作——记住：别写全脸，只写特点！"
structure,3,"第3步 性格（一句话概括）：TA是一个________的人（热心肠/认真/幽默/善良/勤劳/严厉/温柔/勇敢/乐观/细心）"
structure,4,"第4步 事件①（略写）：简单写时间地点+发生了什么+从这件事看出TA的什么特点"
structure,5,"第5步 事件②（详写，重点写！）：起因→经过（语言+动作+神态+心理）→结果，这是全文最重要的一步！"
structure,6,"第6步 结尾（升华情感）：写出对TA的感情（感谢/敬佩/喜爱/思念/感动），最想对TA说的一句话"
tip,1,"❶ 选准特征：别写全脸，只写特点。不说\"她有大眼睛高鼻梁小嘴巴\"，要说\"她一笑，眼睛就弯成了月牙\""
tip,2,"❷ 细节刻画：不要贴标签，用事说话。不说\"他很善良\"，要说\"他把最后的包子掰了一半，递给路边的流浪猫\""
tip,3,"❸ 典型事件：选最像TA的那件事。写妈妈的爱，选她深夜为你盖被子，不要选\"她给我做饭\"（太普通）"
tip,4,"❹ 五感齐下：让人物活过来——写TA说了什么+做了什么+什么表情+你什么感受"
tip,5,"❺ 对比手法：一比就突出。例如：别人都放弃了，只有TA还在坚持"
tip,6,"❻ 真实结尾：写心里话，别喊口号。例如：看着他远去的背影，我的鼻子突然一酸"
topic,1,"《我的妈妈/爸爸》→ 写家人，重点：1~2个特点 + 2件小事"
topic,2,"《我的老师》→ 写老师，重点：最让你感动/印象深刻的一件事"
topic,3,"《我的好朋友》→ 写同学，重点：优点 + 你们之间的故事"
topic,4,"《我最敬佩的人》→ 写任何人，重点：最让你佩服的品质"
topic,5,"《我的自画像》→ 写自己，重点：外貌 + 性格 + 爱好"
topic,6,"《猜猜他是谁》→ 写同学，重点：只写特点不写名字，让大家猜"
pitfall,1,"❌ 外貌写太全 → ✅ 只选1~2个特征。不要\"她有大眼睛、高鼻梁、小嘴巴、圆脸蛋\"，要\"她一笑，眼睛就弯成了月牙\""
pitfall,2,"❌ 事件像流水账 → ✅ 只写最有代表性的。不要\"妈妈每天做饭、洗衣、拖地\"，要\"妈妈发烧了还爬起来给我做早餐\""
pitfall,3,"❌ 只会贴标签 → ✅ 用事实说话。不要\"他很善良\"，要\"他把最后的包子和流浪猫一人一半\""
pitfall,4,"❌ 结尾太虚假 → ✅ 写真实的感受。不要\"他是伟大的人，我永远敬佩他\"，要\"我望着他远去的背影，心里暖暖的\""
checklist,1,开头有没有让人想继续读？
checklist,2,外貌是只写了1~2个特征吗？
checklist,3,事件有语言、动作、神态、心理吗？
checklist,4,结尾是真心的感受吗？
