section,order,content
structure,1,"第1步 开头（引出景色）：写什么地方+整体印象（一句话），可以开门见山/对比引入/回忆引入"
structure,2,"第2步 整体看（远景/大景）：选一种空间顺序——从上到下/由远到近/从外到内/从左到右，用一句话写整体画面"
structure,3,"第3步 细看（近景/小景，重点写！）：调动五感——视觉（颜色/形状/大小）+听觉+嗅觉+触觉，用比喻/拟人让景色活起来"
structure,4,"第4步 结尾（抒发感情）：写出喜爱/感受（心旷神怡/流连忘返/陶醉其中），也可以发出邀请"
tip,1,"❶ 顺序不乱：选一种顺序，一路写到底——从远到近/从上到下/从早到晚/春夏秋冬"
tip,2,"❷ 抓特点：写出和别人不一样的地方。同样的山，黄山有奇石，泰山有云海"
tip,3,"❸ 五感齐用：不要只用眼睛看——写看到的颜色+听到的声音+闻到的气味+感觉到的温度"
tip,4,"❹ 动静结合：静物写形状颜色，动物写动作声音。湖水平静得像一面镜子，突然一条鱼跃出水面"
tip,5,"❺ 善用修辞：比喻+拟人，景色就活了。不说\"花很漂亮\"，要说\"花儿在风中跳起了舞\""
tip,6,"❻ 情景交融：把心情写到景色里。心情好→阳光是温暖的，心情不好→就连太阳也躲进了云里"
topic,1,"《这儿真美》/《美丽的___》→ 选一处景点，按顺序描写，突出\"美在哪\""
topic,2,"《家乡的___》→ 写出你对家乡的感情，借景抒情"
topic,3,"《__即景》（如雨中即景/日落即景）→ 写变化的过程，写出动态美"
topic,4,"《四季之美》/《校园的四季》→ 按春夏秋冬顺序，每个季节写一个特点"
topic,5,"《推荐一个好地方》→ 写出推荐的理由（景色好/好玩/有特色）"
topic,6,"《公园一角》/《窗外》→ 写一个角落，但要有细节"
pitfall,1,"❌ 没有顺序，东写西写 → ✅ 先选一个顺序。不要先写天空又写草地又回头写云，要从远到近一路写下来"
pitfall,2,"❌ 只罗列名字 → ✅ 写出特点。不要\"有花有草有树\"，要\"草地上开满了五颜六色的小花，像撒了一地的星星\""
pitfall,3,"❌ 没有感情 → ✅ 借景抒情。不要\"这里很美\"，要\"看着这美丽的景色，我多么想画下来啊\""
pitfall,4,"❌ 全是静止的 → ✅ 动静结合。不要\"湖面很平静\"，要\"湖面平静得像一面镜子，偶尔有几只鸭子游过，荡开一圈圈波纹\""
checklist,1,开头有没有告诉别人写的是哪里？
checklist,2,有没有按照一个顺序来写（不乱跳）？
checklist,3,有没有用到至少2种感官（看、听、闻、触）？
checklist,4,有没有用比喻或拟人让景色"活"起来？
checklist,5,结尾有没有写出自己的感受？
