section,order,content
structure,1,"第1步 开头（引出事物）：写的是什么+从哪里来的+我和它的关系，可以开门见山/谜语引入/对比引入"
structure,2,"第2步 外形（它长什么样，重点写！）：按顺序从整体到局部——大小+颜色+形状→选2~3个最有特点的部位→用上比喻"
structure,3,"第3步 功能或故事：方向A写功能（用途+怎么用+效果）或方向B写故事（它陪着我做过的事+它代表的意义）"
structure,4,"第4步 结尾（表达感情）：写出对它的感情+它对我的意义——它不仅是……更是……"
tip,1,"❶ 按顺序写外形：从整体到局部，从上到下。先写大小颜色形状，再写头身子尾巴"
tip,2,"❷ 抓特点：写和别人不一样的。例如：我的文具盒上面有一只小猫的图案，这是和别人不一样的地方"
tip,3,"❸ 多用比喻：把物品比作熟悉的东西。不说\"台灯是白色的\"，要说\"台灯像一只伸长脖子的白天鹅\""
tip,4,"❹ 写出感情：不要干巴巴介绍，要写出\"它对我很重要\"。例如：虽然它已经很旧了，但我不舍得扔"
tip,5,"❺ 用拟人：把物品当朋友写。例如：小闹钟每天准时叫我起床，从不偷懒"
tip,6,"❻ 托物言志：结尾写出它教会了你什么。例如：小草虽然不起眼，但我从它身上学会了坚强"
topic,1,"《我的文具盒》/《我的书包》→ 外形+功能+它陪我学习的故事"
topic,2,"《我喜欢的玩具》→ 外形+和它一起玩的趣事"
topic,3,"《可爱的小动物》（如小狗/小仓鼠）→ 外形（毛色/眼睛/耳朵）+习性（爱吃什么/怎么玩）+你们的故事"
topic,4,"《我家的绿植》/《我种的___》→ 外形（叶子/花/果）+生长过程+我的感受"
topic,5,"《我喜欢的食物》→ 色香味形+怎么吃的+和谁一起吃"
topic,6,"《一件珍贵的礼物》→ 礼物样子+谁送的+为什么珍贵"
pitfall,1,"❌ 外形写太多 → ✅ 选2~3个特点就够了。不要从头写到脚每个细节都写，要\"我最喜欢它的眼睛，像两颗黑葡萄\""
pitfall,2,"❌ 只会\"很可爱\" → ✅ 用比喻写具体。不要\"小狗很可爱\"，要\"小狗毛茸茸的，像一团会跑的小棉花\""
pitfall,3,"❌ 没有感情 → ✅ 写出你和它的故事。不要\"这个笔袋很好看\"，要\"这个笔袋是妈妈生日送的，看到它就想起妈妈的笑脸\""
pitfall,4,"❌ 写植物只说形状颜色 → ✅ 写出变化。不要\"绿萝的叶子是绿色的\"，要\"春天绿萝冒出嫩绿的新芽，像害羞的小姑娘\""
checklist,1,开头有没有说清楚写的是什么、从哪里来的？
checklist,2,外形是按顺序写的吗（整体→局部）？
checklist,3,有没有用到比喻或拟人？
checklist,4,有没有写出"它"的功能或你们之间的故事？
checklist,5,结尾有没有表达出对它的感情？
