group,sentence,source
描写自然,月亮像一个大银盘，高高地挂在深蓝色的天幕上。,
描写自然,弯弯的月儿像小船，小小的船儿两头尖。,
描写自然,满天的星星像无数珍珠撒在碧玉盘里。,
描写自然,湖面平静得像一面镜子，倒映着蓝天白云。,
描写自然,远处的山峰像一个个巨人，守护着这片大地。,
描写自然,朝霞像一匹美丽的锦缎，披在大地的肩上。,
描写自然,小溪像一条银色的丝带，在山间蜿蜒流淌。,
描写人物,老师的话像春雨一样，滋润着我们幼小的心田。,
描写人物,妈妈的爱像阳光一样温暖，照亮了我前进的道路。,
描写人物,他的眼睛像两颗黑宝石，闪烁着智慧的光芒。,
描写人物,她的笑容像春天里的花朵，让人感到无比温暖。,
描写人物,爷爷的胡子像银丝一样，又细又白。,
描写人物,弟弟圆圆的脸蛋像一个红苹果。,
描写事物,书籍是人类进步的阶梯。,高尔基
描写事物,时间像流水一样，一去不复返。,
描写事物,知识像海洋一样广阔无边。,
描写事物,童年像一首欢快的歌，唱出了我们无忧无虑的快乐。,
描写事物,友谊像一盏明灯，照亮了我们前行的道路。,
描写事物,母爱像一把大伞，为我遮风挡雨。,
描写植物,柳树的枝条像少女的长发，随风飘舞。,
描写植物,银杏叶像一把把小扇子，扇走了夏天的炎热。,
描写植物,荷叶像一个个碧绿的大圆盘。,
描写植物,枫叶红得像一团团火焰，把整座山都染红了。,
