section,order,content
structure,1,"第1步 开头（交代读了什么书）：书名/作者+一句话概括内容+读后整体感受，可以直接开头/感点开头/名言开头"
structure,2,"第2步 简介书的内容（简要写，不要啰嗦）：主要人物+主要情节（一开始→然后→最后）+我最难忘的一个情节"
structure,3,"第3步 我的感想（重点写！）：围绕一个感点写透——联系实际（和自己生活对比）+联系积累（用上名言或诗句）"
structure,4,"第4步 结尾（总结全文，点明收获）：这本书给我的收获+我想对大家说+推荐理由"
tip,1,"❶ 读是基础：先把书读透，才能写出真感受。书都读不明白，感想就是编的"
tip,2,"❷ 感是重点：\"读\"只占1/4，\"感\"要占3/4。不要抄一堆原文，要写自己的想法"
tip,3,"❸ 感点要少：一本书只挑一个最深的感受写。什么都想写=什么都写不好"
tip,4,"❹ 联系实际：书里的内容+你的生活。看到主人公不怕困难，我想起自己学游泳时也差点放弃"
tip,5,"❺ 引用恰当：可以引用原文句子，但要少而精。一句经典的话就够了，别抄一大段"
tip,6,"❻ 真情实感：写心里话，别喊口号。不说\"这本书给了我很大的教育\"，要说\"看完这本书，我悄悄擦了一下眼泪\""
topic,1,"读《___》有感 → 选一本让你印象最深的书来写"
topic,2,"《___》读后感 → 书名+内容简介+感想+联系自己"
topic,3,"推荐文章/好书大家读 → 推荐理由要写充分，让别人也想去读"
pitfall,1,"❌ 内容介绍太多 → ✅ 简要概括，感想为主。不要把故事从头到尾复述一遍，用两三句话概括即可"
pitfall,2,"❌ 感想太空泛 → ✅ 抓住具体情节谈。不要\"这本书教会了我很多道理\"，要\"看到某情节时，我忍不住想如果是我能做到吗\""
pitfall,3,"❌ 没有联系自己 → ✅ 结合生活实际。不要\"主人公很勇敢\"，要\"想想自己碰到一点困难就想放弃，真是不应该\""
pitfall,4,"❌ 结尾太敷衍 → ✅ 写出真实启发。不要\"我喜欢这本书\"，要\"我决定以后遇到困难也要像主人公一样不轻言放弃\""
checklist,1,开头有没有说清楚读了哪本书？
checklist,2,有没有用两三句话简要介绍书的内容？
checklist,3,感想是围绕一个"感点"写到底的吗？
checklist,4,有没有联系自己的生活实际？
checklist,5,结尾写出了这本书带给你的改变吗？
