group,sentence,source
开门见山,在我的记忆中，有一件事让我终生难忘。,
开门见山,我有一个好朋友，他的名字叫小明。,
开门见山,我最喜欢的地方，就是外婆家门前的那条小溪。,
开门见山,今天，我想给大家讲一个发生在我身边的真实故事。,
开门见山,我的爸爸是一个普通的工人，但在我心中他是最伟大的人。,
设置悬念,"砰！"一声巨响从教室里传出来，到底发生了什么事呢？,
设置悬念,那是一个我永远不会忘记的下午，一切都从那个神秘的包裹开始……,
设置悬念,如果时光可以倒流，我多么希望回到那一天。,
设置悬念,"不好了！不好了！"小明气喘吁吁地跑进教室，大家都好奇地围了过去。,
设置悬念,你见过会飞的猫吗？别不信，我就亲眼见过一次！,
引用名言,"失败乃成功之母。"每当我遇到困难的时候，总会想起这句话。,
引用名言,俗话说："一寸光阴一寸金，寸金难买寸光阴。"时间的宝贵，我是深有体会的。,
引用名言,"书山有路勤为径，学海无涯苦作舟。"这句名言一直激励着我努力学习。,
引用名言,"世上无难事，只怕有心人。"这句话说得一点儿也没错。,
景物描写,清晨，一缕阳光透过窗帘，轻轻地洒在我的脸上，新的一天开始了。,
景物描写,秋风送爽，金黄的落叶铺满了校园的小路，踩上去发出沙沙的声音。,
景物描写,窗外，雨淅淅沥沥地下着，我趴在窗台上，望着朦胧的远方，思绪万千……,
景物描写,冬日的早晨，天空飘起了鹅毛大雪，整个世界变成了银白色的童话。,
对话描写,"你能教我画画吗？"我鼓起勇气问坐在旁边的同学。就这样，我们成了好朋友。,
对话描写,"加油！你一定行的！"妈妈的这句话至今回荡在我耳边。,
