group,sentence,source
描写植物,小草从地下探出头来，好奇地张望着这个美丽的世界。,
描写植物,桃花笑红了脸，柳树摇着绿色的长辫子。,
描写植物,向日葵一直朝着太阳微笑，仿佛在说"你好"。,
描写植物,秋天来了，树叶纷纷跳着舞飘落下来。,
描写植物,花儿们争先恐后地张开笑脸，迎接春天的到来。,
描写植物,竹笋从泥土里钻出来，好奇地打量着四周。,
描写植物,荷花在池塘里亭亭玉立，像一位害羞的姑娘。,
描写动物,小鸟在枝头欢快地唱歌，好像在庆祝春天的到来。,
描写动物,蜜蜂在花丛中忙碌地工作，像一个个勤劳的小工人。,
描写动物,蝴蝶在花园里翩翩起舞，像一位优雅的舞者。,
描写动物,青蛙蹲在荷叶上，鼓着腮帮子大声歌唱。,
描写动物,蚂蚁排着整齐的队伍，像一支训练有素的军队。,
描写动物,小猫眯着眼睛，懒洋洋地晒太阳，一副享受的样子。,
描写自然现象,风儿轻轻地抚摸着我的脸，像妈妈温柔的手。,
描写自然现象,太阳公公露出了笑脸，把温暖洒向大地。,
描写自然现象,小溪弹着琴唱着歌，欢快地向前奔跑。,
描写自然现象,雨点儿在窗户上跳舞，发出"滴滴答答"的声音。,
描写自然现象,月亮姑娘害羞地躲进了云层里。,
描写自然现象,春风轻轻地吹过，唤醒了沉睡的大地。,
描写自然现象,雷公公敲起了大鼓，吓得乌云赶紧跑开了。,
描写物品,闹钟不知疲倦地走着，"滴答滴答"地提醒我珍惜时间。,
描写物品,路灯像一个忠诚的卫士，默默地守护着夜归的人们。,
