group,sentence,source
描写季节,春天是花的海洋，夏天是绿的世界，秋天是金的画卷，冬天是银的童话。,
描写季节,春雨像牛毛，像花针，像细丝，密密地斜织着。,
描写季节,秋天的叶子有的黄，有的红，有的半绿半黄，像一幅五彩的图画。,
抒发情感,朋友是快乐时与你分享的人，是悲伤时给你安慰的人，是困难时向你伸出援手的人。,
抒发情感,幸福是妈妈温暖的怀抱，幸福是爸爸坚实的肩膀，幸福是一家人围坐在一起吃饭的温馨。,
抒发情感,读书使人充实，讨论使人机智，写作使人准确。,培根
抒发情感,爱是冬日里的一缕阳光，爱是沙漠中的一泓清泉，爱是黑暗里的一盏明灯。,
描写品质,坚持是滴水穿石的力量，坚持是铁杵磨成针的毅力，坚持是冬天里不畏严寒的梅花。,
描写品质,诚信是一面镜子，照出你的真实；诚信是一把钥匙，打开别人的心门；诚信是一座桥梁，连接人与人之间的友谊。,
描写品质,勤劳是致富的钥匙，勤劳是成功的基石，勤劳是幸福的源泉。,
描写景物,公园里的花有红的、白的、紫的，红的似火，白的如雪，紫的像霞。,
描写景物,天上的云有的像一匹奔腾的骏马，有的像一只温顺的小羊，有的像一座巍峨的高山。,
描写校园,校园里有朗朗的读书声，有欢快的嬉笑声，有悦耳的歌唱声，处处充满了生机。,
