section,order,content
structure,1,"第1步 开头（引出这件事）：交代四要素——时间+地点+人物+起因，一句话就交代清楚"
structure,2,"第2步 经过（详写，重点写！）：一开始→然后→最精彩的部分（动作+语言+神态+心理）→转折→后来怎么样了"
structure,3,"第3步 结果：事情的结果+我的心情（开心/难过/感动/后悔/自豪/紧张/温暖）"
structure,4,"第4步 结尾（写出感悟）：我明白了什么道理/我有什么变化/从那以后我学会了什么"
tip,1,"❶ 六要素记牢：时间地点人物，起因经过结果——一句话就交代清楚，别啰嗦"
tip,2,"❷ 经过写具体：别写流水账，重点部分写细。要说\"他涨红了脸，手紧紧攥着拳头\"，不要只说\"他很生气\""
tip,3,"❸ 选材要新颖：选最特别的那件事，不要写\"扶老奶奶过马路\"（太常见），要写只属于你的独特经历"
tip,4,"❹ 一波三折：事情要有起伏才好看。本来以为要输了→突然发现了转机→最后成功了"
tip,5,"❺ 真实感受：写出心里话，别编假话。害怕就写害怕，高兴就写高兴"
tip,6,"❻ 结尾点题：结尾写出这件事对你的意义。例如：这件事虽然过去了，但它教会了我……"
topic,1,"《难忘的一天》/《难忘的一件事》→ 选出最难忘的一天，写清楚为什么难忘"
topic,2,"《第一次___》/《我学会了___》→ 写清过程+心理变化（紧张→努力→成功）"
topic,3,"《童年趣事》→ 写出\"趣\"在哪，让人看了也想笑"
topic,4,"《成长中的一件事》→ 这件事让你懂得了什么、长大了什么"
topic,5,"《家庭风波》/《温暖的家》→ 家里发生的小故事，写出真情实感"
topic,6,"《运动会》/《一次比赛》→ 赛前准备→比赛经过→赛后感受"
pitfall,1,"❌ 写成流水账 → ✅ 详略得当。不要\"早上起床→吃饭→上学→上课→放学→回家\"，要\"那天最让我紧张的，是……\""
pitfall,2,"❌ 经过太简单 → ✅ 细节写具体。不要\"我们比赛跑步，我赢了\"，要\"发令枪一响，我像箭一样冲了出去……\""
pitfall,3,"❌ 没有真情实感 → ✅ 写出内心活动。不要\"我很开心\"，要\"我的心怦怦直跳，手心里全是汗\""
pitfall,4,"❌ 结尾太敷衍 → ✅ 写出感悟。不要\"这件事真有趣\"，要\"这件事让我明白了……\""
checklist,1,开头有没有交代清楚四要素（时间、地点、人物、起因）？
checklist,2,经过有没有写具体（动作+语言+神态+心理）？
checklist,3,有没有写出"一波三折"的感觉？
checklist,4,结尾点明了这件事的意义吗？
